,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist,hot_days_future,hot_days_future2,hot_days_change,hot_days_change2
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,50,363,810,313,760
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,287,869,1822,582,1535
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,2108,2804,3943,696,1835
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,379,1014,1862,635,1483
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,168,883,3299,715,3131
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,890,1968,3142,1078,2252
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,572,1278,2440,706,1868
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,84,323,694,239,610
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,84,323,694,239,610
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,16,181,451,165,435
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,166,398,1046,232,880
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,421,1079,2069,658,1648
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,139,483,1221,344,1082
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,139,483,1221,344,1082
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,254,848,1935,594,1681
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,254,848,1935,594,1681
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,43,388,1024,345,981
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,120,645,1580,525,1460
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,837,1560,2892,723,2055
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,215,739,1720,524,1505
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,398,974,1602,576,1204
21,Detroit MI,"(-83.0466403, 42.3315509)",276.95335969999996,42.3315509,55,380,864,325,809
22,El Paso TX-NM (TX Part),"(-106.488234, 31.7550511)",253.511766,31.7550511,1942,2791,3530,849,1588
23,Fort Wayne IN,"(-85.1386015, 41.0799898)",274.8613985,41.0799898,84,484,1244,400,1160
24,Fresno CA,"(-119.782872, 36.738324)",240.217128,36.738324,2373,3166,3588,793,1215
25,Grand Rapids MI,"(-85.6678639, 42.9632425)",274.3321361,42.9632425,36,423,940,387,904
26,Greenville SC,"(-82.3984882, 34.851354)",277.6015118,34.851354,302,912,1809,610,1507
