,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist,hot_days_future,hot_days_future2,hot_days_change,hot_days_change2
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,70,342,1039,272,969
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,211,889,2136,678,1925
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,1849,3395,4631,1546,2782
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,424,1024,1946,600,1522
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,284,1470,3654,1186,3370
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,783,2193,3740,1410,2957
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,407,1387,2600,980,2193
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,94,358,890,264,796
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,94,358,890,264,796
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,21,168,662,147,641
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,172,658,1700,486,1528
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,379,1171,2301,792,1922
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,187,826,1778,639,1591
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,187,826,1778,639,1591
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,282,999,2147,717,1865
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,282,999,2147,717,1865
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,76,459,1314,383,1238
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,187,760,1785,573,1598
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,829,2227,3935,1398,3106
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,228,858,1994,630,1766
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,418,1262,2481,844,2063
21,Detroit MI,"(-83.0466403, 42.3315509)",276.95335969999996,42.3315509,70,458,1272,388,1202
22,El Paso TX-NM (TX Part),"(-106.488234, 31.7550511)",253.511766,31.7550511,2060,3378,4593,1318,2533
23,Fort Wayne IN,"(-85.1386015, 41.0799898)",274.8613985,41.0799898,157,678,1628,521,1471
24,Fresno CA,"(-119.782872, 36.738324)",240.217128,36.738324,2503,3133,4012,630,1509
25,Grand Rapids MI,"(-85.6678639, 42.9632425)",274.3321361,42.9632425,77,517,1438,440,1361
26,Greenville SC,"(-82.3984882, 34.851354)",277.6015118,34.851354,291,1002,2173,711,1882
