,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist,hot_days_future,hot_days_future2,hot_days_change,hot_days_change2
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,33,82,317,49,284
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,284,652,1297,368,1013
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,2094,2977,3555,883,1461
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,348,612,1102,264,754
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,146,749,2361,603,2215
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,737,1973,2714,1236,1977
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,530,1148,1809,618,1279
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,65,143,370,78,305
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,65,143,370,78,305
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,1,14,54,13,53
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,171,381,988,210,817
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,407,798,1527,391,1120
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,88,280,542,192,454
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,88,280,542,192,454
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,166,433,923,267,757
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,166,433,923,267,757
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,32,112,343,80,311
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,78,247,697,169,619
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,767,1543,2239,776,1472
