,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist,hot_days_future,hot_days_future2,hot_days_change,hot_days_change2
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,39,108,208,69,169
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,272,537,1074,265,802
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,2047,2759,3430,712,1383
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,371,455,794,84,423
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,236,569,1744,333,1508
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,772,1491,2265,719,1493
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,677,1198,1773,521,1096
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,79,183,333,104,254
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,79,183,333,104,254
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,3,15,22,12,19
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,164,244,555,80,391
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,379,550,945,171,566
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,162,378,602,216,440
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,162,378,602,216,440
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,296,486,917,190,621
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,296,486,917,190,621
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,59,146,227,87,168
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,138,309,576,171,438
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,822,1441,2457,619,1635
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,224,419,763,195,539
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,342,1003,1843,661,1501
21,Detroit MI,"(-83.0466403, 42.3315509)",276.95335969999996,42.3315509,71,142,231,71,160
22,El Paso TX-NM (TX Part),"(-106.488234, 31.7550511)",253.511766,31.7550511,1960,2944,3504,984,1544
