,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist,hot_days_future,hot_days_future2,hot_days_change,hot_days_change2
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,57,198,680,141,623
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,307,579,1266,272,959
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,2234,2856,3723,622,1489
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,415,796,1507,381,1092
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,296,1198,2601,902,2305
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,1039,1704,2731,665,1692
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,657,1102,1783,445,1126
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,87,219,581,132,494
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,87,219,581,132,494
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,7,44,304,37,297
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,179,445,1052,266,873
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,420,926,1682,506,1262
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,158,492,1082,334,924
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,158,492,1082,334,924
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,265,669,1535,404,1270
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,265,669,1535,404,1270
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,67,224,769,157,702
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,145,491,1231,346,1086
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,917,1838,2824,921,1907
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,231,532,1340,301,1109
