,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist_py,hot_days_future_py,hot_days_future2_py,hot_days_future3_py
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,0.0360930089075695,0.3745208979740829,0.6005585062695066,1.0854209445585214
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,0.2253499402305942,0.9735353166636248,1.4264907189399332,2.176180698151951
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,1.9832645663826012,3.7178317211169922,4.120462136560258,4.9100616016427105
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,0.34103266108818875,1.1213725132323418,1.4521163007172972,2.0369609856262834
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,0.16288127096749314,1.6097828070815843,2.4364014674478454,3.549075975359343
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,0.7690587282612886,2.401533126482935,2.9751957509719102,3.8024640657084188
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,0.47985192611730226,1.5188903084504473,1.956086075672124,2.6788501026694047
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0.06478232368025295,0.3920423434933382,0.5749329244921425,0.9864476386036961
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0.06478232368025295,0.3920423434933382,0.5749329244921425,0.9864476386036961
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,0.009717348552037944,0.18397517795218107,0.33773202650167,0.7486652977412731
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,0.15362665329888558,0.7205694469793759,1.0815309642446476,1.857905544147844
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,0.32391161840126476,1.2823507939405001,1.7057438536932594,2.4073921971252568
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,0.10596537230555662,0.9045446249315569,1.2503969774954826,1.7831622176591375
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,0.10596537230555662,0.9045446249315569,1.2503969774954826,1.7831622176591375
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,0.19434697104075888,1.0939952546085052,1.5257077150522915,2.096098562628337
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,0.19434697104075888,1.0939952546085052,1.5257077150522915,2.096098562628337
