,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist_py,hot_days_future_py,hot_days_future2_py,hot_days_future3_py,hot_days_hist,hot_days_future,hot_days_future2,hot_days_future3,hot_days_change,hot_days_change2,hot_days_change3
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,5,57,342,2497,5,57,342,2497,52,337,2492
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,189,554,1186,4143,189,554,1186,4143,365,997,3954
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,1733,3225,4508,7433,1733,3225,4508,7433,1492,2775,5700
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,67,255,735,3294,67,255,735,3294,188,668,3227
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,43,237,969,5544,43,237,969,5544,194,926,5501
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,28,187,861,5363,28,187,861,5363,159,833,5335
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,621,1305,2268,5209,621,1305,2268,5209,684,1647,4588
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0,0,21,1657,0,0,21,1657,0,21,1657
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0,0,21,1657,0,0,21,1657,0,21,1657
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,25,160,607,3122,25,160,607,3122,135,582,3097
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,0,15,211,4133,0,15,211,4133,15,211,4133
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,132,413,1003,3930,132,413,1003,3930,281,871,3798
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,81,408,1130,3608,81,408,1130,3608,327,1049,3527
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,81,408,1130,3608,81,408,1130,3608,327,1049,3527
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,409,991,1847,4451,409,991,1847,4451,582,1438,4042
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,409,991,1847,4451,409,991,1847,4451,582,1438,4042
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,99,393,999,3559,99,393,999,3559,294,900,3460
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,409,991,1847,4451,409,991,1847,4451,582,1438,4042
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,2337,3652,5185,8454,2337,3652,5185,8454,1315,2848,6117
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,409,991,1847,4451,409,991,1847,4451,582,1438,4042
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,617,1105,1935,4013,617,1105,1935,4013,488,1318,3396
